STUDY,ML,TECHNIQUE,CODE_SMELL,METRIC,BEFORE,AFTER
S11,NB,SMOTE,GC,P,25.00,26.00
S11,NB,SMOTE,GC,R,83.00,93.00
S11,NB,SMOTE,GC,F1,39.00,41.00
S11,NB,SMOTE,GC,MCC,45.00,49.00
S11,NB,SMOTE,CDSP,P,30.00,27.00
S11,NB,SMOTE,CDSP,R,33.00,33.00
S11,NB,SMOTE,CDSP,F1,31.00,30.00
S11,NB,SMOTE,CDSP,MCC,31.00,29.00
S11,NB,SMOTE,CC,P,23.00,26.00
S11,NB,SMOTE,CC,R,58.00,65.00
S11,NB,SMOTE,CC,F1,33.00,37.00
S11,NB,SMOTE,CC,MCC,36.00,40.00
S11,NB,SMOTE,SC,P,16.00,16.00
S11,NB,SMOTE,SC,R,30.00,34.00
S11,NB,SMOTE,SC,F1,21.00,22.00
S11,NB,SMOTE,SC,MCC,21.00,22.00
S11,NB,SMOTE,LM,P,15.00,12.00
S11,NB,SMOTE,LM,R,56.00,58.00
S11,NB,SMOTE,LM,F1,23.00,20.00
S11,NB,SMOTE,LM,MCC,28.00,26.00
S58,RF,SMOTE,GC,Spearman ,83.00,86.00
S58,RF,SMOTE,GC,Kendall,68.00,73.00
S58,RF,SMOTE,GC,MAE,63.00,61.00
S58,RF,SMOTE,GC,RMSE,75.00,74.00
S58,RF,SMOTE,DC,Spearman ,83.00,83.00
S58,RF,SMOTE,DC,Kendall,69.00,72.00
S58,RF,SMOTE,DC,MAE,61.00,61.00
S58,RF,SMOTE,DC,RMSE,73.00,73.00
S58,RF,SMOTE,FE,Spearman ,79.00,80.00
S58,RF,SMOTE,FE,Kendall,56.00,60.00
S58,RF,SMOTE,FE,MAE,42.00,42.00
S58,RF,SMOTE,FE,RMSE,55.00,56.00
S58,RF,SMOTE,LM,Spearman ,83.00,82.00
S58,RF,SMOTE,LM,Kendall,64.00,67.00
S58,RF,SMOTE,LM,MAE,35.00,36.00
S58,RF,SMOTE,LM,RMSE,49.00,50.00
