STUDY,ML,TECHNIQUE,CODE_SMELL,METRIC,BEFORE,AFTER
S1,DT,GA,GC,P,60.60,68.40
S1,DT,GA,GC,R,42.40,43.50
S1,DT,GA,GC,F1,49.90,52.70
S1,DT,GA,LM,P,82.10,84.80
S1,DT,GA,LM,R,82.70,87.00
S1,DT,GA,LM,F1,82.40,85.90
S1,DT,GA,LPL,P,97.20,97.90
S1,DT,GA,LPL,R,95.90,97.50
S1,DT,GA,LPL,F1,96.50,97.70
S20,RF,GA Naive,DC,F1,99.70,98.48
S20,RF,GA Naive,DC,Acc,99.78,98.85
S20,RF,GA Naive,GC,F1,98.48,98.18
S20,RF,GA Naive,GC,Acc,98.84,98.62
S20,RF,GA Naive,LM,F1,95.97,94.93
S20,RF,GA Naive,LM,Acc,96.61,95.71
S20,RF,GA Naive,FE,F1,97.64,98.12
S20,RF,GA Naive,FE,Acc,97.97,98.40
S20,RF,GA CFS,DC,F1,99.70,99.39
S20,RF,GA CFS,DC,Acc,99.78,99.55
S20,RF,GA CFS,GC,F1,98.48,98.48
S20,RF,GA CFS,GC,Acc,98.84,98.85
S20,RF,GA CFS,LM,F1,95.97,95.95
S20,RF,GA CFS,LM,Acc,96.61,96.63
S20,RF,GA CFS,FE,F1,97.64,97.98
S20,RF,GA CFS,FE,Acc,98.12,98.39
S23,DT,Chi-square,DC,Acc,98.22,98.21
S23,DT,Chi-square,DC,F1,96.00,99.99
S23,LR,Chi-square,GC,Acc,97.35,97.08
S23,LR,Chi-square,GC,F1,100.00,100.00
S23,LR,Chi-square,FE,Acc,100.00,100.00
S23,LR,Chi-square,FE,F1,99.52,100.00
S23,DT,Chi-square,LM,Acc,98.60,98.21
S23,DT,Chi-square,LM,F1,98.00,99.99
S23,DT,Wrapper,DC,Acc,98.22,98.90
S23,DT,Wrapper,DC,F1,96.00,99.00
S23,LR,Wrapper,GC,Acc,97.35,97.35
S23,LR,Wrapper,GC,F1,100.00,95.00
S23,LR,Wrapper,FE,Acc,100.00,100.00
S23,LR,Wrapper,FE,F1,99.52,100.00
S23,DT,Wrapper,LM,Acc,98.60,98.07
S23,DT,Wrapper,LM,F1,98.00,100.00
S60,RF,PCA,GC,Acc,78.00,85.00
S60,DT,PCA,DC,Acc,80.00,83.00
S60,RF,PCA,FE,Acc,91.00,96.63
S60,RF,PCA,LM,Acc,98.00,99.00
S69,GB,Chi-square,GC,F1,85.00,90.00
S69,GB,Chi-square,GC,Acc,82.08,86.00
S69,GB,Chi-square,DC,F1,90.00,87.00
S69,GB,Chi-square,DC,Acc,86.67,88.22
S69,DT,Chi-square,FE,F1,95.00,96.00
S69,DT,Chi-square,FE,Acc,95.32,96.00
S69,XGBoost,Chi-square,LM,F1,100.00,100.00
S69,XGBoost,Chi-square,LM,Acc,98.74,99.12
